h,sentiment_score,sntmnt,body,sentiment_score2,sntmnt2
"
Iain Dale: Remainers were just talking to themselves
",-0.125,Negative,"The problem the Remain side of the†EU Referendum has come up against time and again is talking to their own echo chamber, broadcaster Iain Dale has said.† The LBC presenter told Liam Halligan on the Telegraph's Planet Normal podcast, which you can listen to on the audio player above, that to ""formulate your own opinion... you have to understand the other point of view"" and that instead Remainers branded those who voted for Brexit as ""thick and stupid."" Mr Dale was talking ahead of the release of his book, Why Can't We All Just Get Along, in which he bemoans the state of public discourse in Britain. On that subject, he said ""the advent of social media and the Internet has really exacerbated it where people feel that they... can say things to you on Twitter that they would never say to your face if they met you in the street.""† On journalists using social media, Mr Dale expressed concerns about the impartiality of those employed by the BBC, saying ""This doesn't just happen on Twitter, it happens on screen too now, where perfectly good journalists feel that they can opine or editorialise on screen."" Listen to Planet Normal, a weekly Telegraph podcast featuring news and views from beyond the bubble with columnists Liam Halligan and Allison Pearson on the audio player above or subscribe for free on Apple Podcasts, Spotify or your preferred podcast app. This week Allison is taking a break and Liam is joined by guest host Kate Hoey.† ",-0.625,Negative
"
Academic freedom under threat as†pro-Brexit professors face discrimination
",0,Neutral,"Pro-Brexit and right-wing professors face discrimination and are self censoring, a think tank has warned, amid fears that academic freedom is under threat.† The Policy Exchange think tank has released a report claiming that higher education institutions and the Government must do much more to ensure that all lawful speech is protected on university campuses across the country. The paper, entitled Academic freedom in the UK, suggests there is a ""structural discriminatory effect"" against the minority of academics at British universities who identify as being on the right. Researchers warned that: ""Hostile or just uncomfortable attitudes signal to those subject to such discrimination that they should conceal their views and narrow their research questions to conform to prevailing norms, if they wish to progress and enjoy a positive workplace experience,"" it warns. A YouGov poll, of 820 both current and former academics, found more than one in seven said there was a hostile climate towards people with their political beliefs in their department - but the figure is higher among those who identify as being right-leaning, or among those who voted to leave the EU. Just over half of respondents said they would feel comfortable sitting with a colleague who is a Leave supporter at lunch, in a meeting or in the staff room. Meanwhile, more than a third said they would feel comfortable sitting with a colleague who opposes admitting transwomen to women's refuge centres. But more than four in five said they believed academics who were pro-Remain would feel comfortable expressing their views to colleagues, the poll found. The report suggests that right-leaning academics are more likely to choose to ""self-censor"" compared to colleagues who are centrists or on the left. Some pro-Leave social sciences and humanities academics said they had refrained from publishing or airing views in research and teaching for ""fear of consequences"" to their careers, according to the think tank paper. It warns: ""The challenge today is that a serious threat to academic freedom may now, in addition, arise from within universities. ""This internal threat derives from the way that some in the university-both students and faculty members-relate to others on campus, being willing to penalise them on the basis of their perceived or actual political views."" In a foreword to the report, Ruth Smeeth, former Labour MP and chief executive of Index on Censorship, says: ""It does the country no good if our educators, our academics, our scholars and, most importantly, our students feel that they can't speak or engage without fear of retribution."" The report calls on the Government to make it explicit in law that universities have a direct duty to protect academic freedom and freedom of speech. It adds that a ""Director for Academic Freedom"" should be created as part of the Office for Students (OfS) to investigate claims that freedom of speech have been violated, and to promote tolerance for viewpoint diversity in the sector. Universities minister Michelle Donelan said: ""University leaders must do much more to champion freedom of speech, and this Government is committed to bringing forward measures to strengthen free speech and academic freedom, potentially including legislation."" She added: ""It is deeply concerning the extent to which students and academics with mainstream views are being silenced and discriminated against in our universities."" But Jo Grady, general secretary of University and College Union (UCU), dismissed the findings of the think tank's report. She said: ""The idea that academic freedom is under threat is a myth. ""The main concern our members express is not with think tank-inspired bogeyman, but with the current Government's wish to police what can and cannot be taught at university."" The OfS said it is planning to issue guidance on how universities can meet principles relating to academic freedom and free speech in the autumn. Responding to the report, a Universities UK (UUK) spokesman said: ""Academic freedom and freedom of speech are critical to the success of UK higher education and universities take seriously their legal obligations on both. ""Robustly protecting these characteristics in a constantly evolving world is of the utmost importance to universities."" ",0,Neutral
"
Revealed: Spain secretly lobbied US Congress†on getting joint sovereignty over Gibraltar
",0,Neutral,"Spain embarked on a secret lobbying drive to push US congressmen into supporting a plan to strip Britain of sole sovereignty over Gibraltar, The Daily Telegraph can reveal. Seven current and former members of the House of Representatives told this newspaper the Spanish Embassy in Washington DC pushed back after they signed a resolution backing Gibraltar's British status†or visited the territory.† Some congressmen said while diplomats should be allowed to argue their case the attitude of Spanish officials was perceived at times as ""belligerent""ù, ""forceful""ù, ""aggressive""ù and ""over the line""ù. One commented: ""The Spaniards went nuts.""ù One letter seen by this newspaper shows the then Spanish ambassador pushed a plan†just months after the Brexit vote†to end Britain's†sole sovereignty over Gibraltar, instead sharing the territory with Spain.† Under the plan Gibraltar residents would get Spanish as well as British citizenship and Madrid would get equal say in the territory's foreign policy, defence and immigration as London. The Spain-Gibraltar border would also disappear.† Other letters described Gibraltar as a ""colony""ù, dismissed referendums where residents had rejected Spanish rule and made pointed references to Spain's support of America in the fight against the Islamic State. The backlash on congressmen†took the form of calls into offices, notes signed by†the Spanish ambassador and requests for face-to-face meetings, with the common argument being the UK's claim to sole sovereignty of Gibraltar was wrong. ",0,Neutral
"
Claire Fox: the BBC is the 'woke' channel
",0,Neutral,"The BBC ""doesn't realise it itself has narrowed what opinions are acceptable"" the former MEP Claire Fox has said.† The director of the Institute of Ideas told Liam Halligan on the Telegraph's Planet Normal podcast that although she defends the BBC†in principle, she feels the broadcaster is†doesn't ""talk the same language as†the majority of people in the country.""†† You can listen to the interview on the†audio player above or subscribe for free on†Apple Podcasts,†Spotify†or your preferred podcast app. On reaction to Black Lives Matter, Ms Fox said that ""history will see this as a period in which we denounced history"" and that it is not ""a rank and file grassroots movement of anti-racism."" She added that she fears that more people are beginning to think of themselves through their ethnicity and that line of thinking was something she had hoped ""we had transcended in the modern era."" Listen to†Planet Normal, a weekly Telegraph podcast featuring news and views from beyond the bubble with columnists Liam Halligan and Allison Pearson†on the audio player above or subscribe for free on†Apple Podcasts,†Spotify†or your preferred podcast app. This week Allison is taking a break and Liam is joined by guest host,†former MP, Kate Hoey.† ",0,Neutral
"
Post-Brexit fishing row escalates as France tells the UK it will fight for French fishermen
",0,Neutral,"France has warned Britain it is not ""intimidated"" by threats to walk away from the Brexit talks and parroted Theresa May's mantra that ""no deal is better than a bad deal"".† The country's new Europe minister Cl√©ment Beaune vowed that French President Emmanuel Macron will be ""intransigent"" over his demands for full access to UK waters in the future.† ",0,Neutral
"
Trade groups warn of Brexit paperwork pile-up
",0,Neutral,"Trade groups have warned over a crippling shortage of customs agents as they brace for a deluge of Brexit paperwork from January. Duncan Buchanan of the Road Haulage Association warned there was no longer time to train agents to the right standard - potentially sparking chaos at the borders. Ministers said earlier this year that about 50,000 more private sector staff would be needed to meet customs demand when Britain left the single market, although this could be lower if a trade deal was struck. Mr Buchanan said: ""Those people need to be in a position to do the data entry, but everything we're hearing from HMRC is adding to the bureaucracy. It's a serious problem.""ù The Government is expected to release further details of its new border operating model for Northern Ireland on Wednesday. A report by the Institute for Government think-tank concluded that £84m provided by HMRC to help train customs agents on behalf of companies may still not be enough as they fight to process up to 215m new customs declarations a year. Mr Buchanan said: ""At the moment, only companies that are already customs brokers can apply for the funding. That's not a sustainable position. The vast majority of logistics companies specialising in Europe-only road haulage have never needed to do customs themselves. They need to be able to provide a service to their customers which they haven't done since 1992.""ù He said the idea that people made redundant by Covid-19 could be retrained as customs intermediaries by January was ""nonsense on stilts""ù. The IfG noted concerns that classroom-based customs training could not replace real-world experience, which can take about a year to gain. HMRC did not comment. ",0,Neutral
"
Millionaire Brexit backer Stuart Wheeler asked friends to break lockdown to say final farewells
",0,Neutral,"The spread-betting millionaire and Brexit supporter Stuart Wheeler has died, weeks after asking his friends to break the coronavirus lockdown to say goodbye to him. Mr Wheeler, 85, who made his fortune after setting up spread betting company IG Index and donated†heavily to the Conservative Party, the UK Independence Party and the Vote Leave campaign, passed away at his home, Chilham Castle in Kent, surrounded by his daughters and grandchildren. Last month, Mr Wheeler, who had untreatable stomach cancer, emailed his friends and urged them to come to see him despite the movement restrictions imposed during the lockdown. He told them: ""No one who, for my sake, declines an invitation to visit us at the castle, is doing me a favour. On the contrary, by depriving me of their company, they are doing me a great disfavour."" By his own account, Mr Wheeler gave £5 million†to the Conservative Party in 2001 and a further £500,000 in 2003, followed by ""several hundreds of thousands of pounds"" to the UK Independence Party in 2009, and hundreds of thousands to the Vote Leave referendum campaign. Nigel Farage, the former Ukip leader, described him as a ""brave and honourable man whose contribution towards us achieving Brexit was enormous"". He said: ""He was one of 10 or 12 people who really made Brexit happen. That is how important he was."" Mr Wheeler's well-received memoir, Winning Against the Odds, which recounted tales of meeting the Queen, Princess Margaret and PG Wodehouse and playing bridge with Omar Sharif and backgammon with Lord Lucan, was published last September. It ended with him movingly describing the death of Tessa, his wife of 37 years, in 2016, after she had battled carcinoid cancer. While ""we will not be reunited with our loved ones"", he concluded, ""I should very much like to see Tessa again"".† ",0,Neutral
"
UK to offer emergency Brexit talks, with 'EU to blame' if trade deal collapses
",-1.375,Negative,"Britain's chief Brexit negotiator will offer to hold an emergency round of talks next week as the UK tries to avoid blame for any failure to agree a trade deal. Formal talks between David Frost and the EU's Michel Barnier in London will end on Thursday with neither side believing the current deadlock will be broken this week. The Telegraph has revealed that the Government's working assumption is now that Britain will have no trade deal in place when the transition period ends on December 31, but Downing Street said on Wednesday that the talks were not yet at ""breakdown"". Boris Johnson had set a deadline of the end of July for an outline agreement to be reached, and Mr Frost is expected to make himself available to continue one-to-one talks with Mr Barnier next week to ensure everything has been done to meet the target. With neither side currently prepared to give ground on key issues including fishing rights and the jurisdiction of the European Court of Justice, Number 10 wants to show that if the talks collapse it will be the EU's fault. A source close to the negotiations said: ""We wanted to get an agreement this month, but it's clear from the EU side that's not going to happen. That doesn't mean we will stop talking, though. ""If an agreement isn't reached this week, it's likely that David Frost will offer more face-to-face talks next week on an informal basis. Then we would expect there to be more talks in the third week of August."" ",-0.625,Negative
"
Emmanuel Macron accuses Dutch of acting like Brexit Britain at EU coronavirus summit†
",0,Neutral,"Emmanuel Macron accused the prime minister of the Netherlands of taking Brexit Britain's obstructive role at EU summits, as marathon talks over a massive coronavirus rescue fund stretched into a fourth straight day on Monday.† The French President's patience snapped as tempers flared in tough negotiations over the plans for a Ç¨750 bn coronavirus stimulus package and bolstered Ç¨1.1 trillion EU Budget for seven years from 2021.† The package is backed by France, Germany, Spain, Italy and others but resisted by the ""frugal four""ù of the Netherlands, Austria, Sweden and Denmark, who were joined by Finland on Sunday.† Mark Rutte, the prime minister of the Netherlands and his allies have demanded more oversight of payments from the rescue fund, more of the cash to be loans† rather than non-repayable grants and for the Budget to be slimmed down.† Mr Macron accused Mr Rutte of behaving like David Cameron, the former British prime minister who would often boast of ""battling for Britain""ù in Brussels.† Mr Cameron's strategy of taking a hard line in summits for domestic political gain ""ended badly""ù with him losing the Brexit referendum and his job, Mr Macron told Mr Rutte last night. Before threatening to walk from the talks rather than make a bad deal, Mr Macron bashed the table and attacked Sebastian Kurz for leaving the negotiations to take a phone call.† The Austrian chancellor was described as offended by one source after Mr Macron said, ""You see? He doesn't care. He doesn't listen to others.""ù A French source said accounts of the outburst were ""a little caricatured""ù but said Mr Macron had ""taken a hard line on their inconsistencies.""ù The Dutch prime minister, whose conservative VVD party faces a strong challenge from far-right eurosceptic parties in elections next March, said on Monday morning that ""on the whole""ù progress was being made at the near record length summit.† ""We're not here to be invited to each other's birthdays for the rest of our lives,"" he said.††† His ally Sebastian Kurz appeared to claim victory for their frugals. ""Hard negotiations have just come to an end, we can be very satisfied with today's result,""ù the Austrian Chancellor tweeted, ""We'll continue in the afternoon.""ù ",0,Neutral
"
Three quarters of hauliers face loss of permits in no-deal Brexit
",-0.125,Negative,"Three†quarters of hauliers could be left without permits and unable to bring in goods from the continent if there is no Brexit trade deal, the freight industry has warned. When Britain leaves the single market and customs union at the end of the year, lorry companies will lose the right to provide road transport services in the EU. Instead, they will automatically enter the European Conference of Ministers of Transport (ECMT) scheme, which distributes a fixed number of permits per country. There were 8,348 UK-registered international road hauliers last year, according to Department for Transport data. However, under the ECMT scheme, the UK would be allocated permits for only 2,088 companies. Sarah Laouadi, European policy manager at the Freight Transport Association, said haulage businesses, already under financial strain from Covid-19, needed clarity within weeks, as ""Christmas peak time starts in autumn""ù for the industry. ",-0.625,Negative
"
Huawei to be stripped from UK's 5G network by 2027, Oliver Dowden confirms
",0,Neutral,"Oliver Dowden has confirmed that the†UK will ban Huawei from the UK's 5G network and set†a new deadline for stripping it out of all infrastructure at the cost of £2bn.† The Chinese tech giant†equipment will be stripped out entirely by 2027, with telecoms firms†banned from purchasing new 5G equipment from Huawei from the start of next year, the Culture Secretary said. He told the Commons there would be a ""cumulative delay"" to the UK's†5G roll-out of two to three years,†costing†up to £2 billion. ""This will have real consequences for the connections on which all our constituents rely,"" Mr Dowden said. Boris†Johnson this morning chaired a meeting of the National Security Council at which a final decision on Huawei's future as a supplier was rubber stamped.†† In January, the Prime Minister announced that Huawei would be limited to a 35 per cent cap in the 5G network and would be limited to its periphery and banned from the core.† However, the imposition of new US sanctions, which ban the sale of components used in Huawei equipment, has been deemed a ""game changer"" for its role in the UK's 5G network.† Downing Street also faced a growing rebellion on its backbenches, with senior Tories concerned about China's security threat following the move to impose a new security law on Hong Kong. Read more below. ",0,Neutral
"
British businesses to face mountain of paperwork as post-Brexit border plans unveiled
",0,Neutral,"British businesses will need to submit 215 million more customs forms a year after the Brexit transition period ends, it has emerged. On Monday the Government published its post-Brexit border guidance for the first time, with†a 206-page document on how the import and export system will work. The process will involve 400 million more annual customs forms for British and European businesses in total. Each form will cost between £15 and £56, HM Revenue & Customs has said. It would therefore cost British businesses as much as £12bn a year to process the additional 215 million customs forms. It is understood inland checks will be conducted at about 10 to 12 sites around Kent, including at Ashford. Michael Gove, the minister for the Cabinet Office, told MPs said the end of the transition period will ""herald changes and significant opportunities""ù which both businesses and individuals need to prepare for. He added: ""We are committed to working closely with businesses and the border industry to help deliver not just a fully operational border at the end of the transition period, but also the world's most effective and secure border in the world by 2025.""ù Border controls will be introduced in three stages, in January, April and July next year.†More than £700 million will be spent on building infrastructure, hiring staff and developing technology, Mr Gove said. Plans for a new web portal called the Smart Freight System (SFS) have also been announced, to try and speed up the export process and to prevent ""significant queues and delays""ù for lorries approaching UK ports. However, industry figures have criticised government for lack of detail on how SFS would work and what paperwork will be required - the government has said it will consult on it this summer. Rod McKenzie of the Road Haulage Association said: ""This is 200 pages of so-called detail but still we lack clarity and time is running out. I'm worried about the Smart Freight app because, with great respect to drivers, their job is to drive a truck not to be suddenly burdened with admin.""ù Meanwhile ministers launched a†new public information campaign ahead of the end of the†transition period. ",0,Neutral
"
Brexit paperwork chaos leaves hauliers in the dark
",-0.5,Negative,"Mass confusion over freight paperwork could trigger long tailbacks†at Britain's borders and damage the flow of vital goods, Whitehall officials have admitted in a leaked document. Lorry drivers without†the right details risk being stopped from boarding ferries bound for the European Union†or when they land at†EU ports, according to the†206-page study -†with hauliers fined or sent back to†Britain as a result. The Border With The European Union†document acknowledged this could ""lead to significant queues and delays on the roads approaching ports in the UK if a high volume of HGVs do not have the correct documentation""ù. It is due to be made public later today. Haulage groups said that the new Brexit guidance†fails†to answer critical questions about the customs checks which more than 10,000 lorries will face every day as they head through†UK ports after the transition period ends. There are particular concerns around the†Smart Freight System, a†web portal where every lorry driver leaving Britain†will be required to submit information about goods travelling to the EU†from January, regardless of whether†there is a trade deal. ",-0.5,Negative
"
Doctors and nurses to get fast-track entry to UK under new immigration system
",0.25,Positive,"Doctors and nurses†from overseas will be eligible for fast-track entry to the UK and exempt from paying an NHS health surcharge under a new visa scheme set out by the Home Office on Monday.† Under the new Health and Care visa, those eligible will also pay less in application fees and will be able to access ""dedicated support""ù in filling out their forms.† The exemptions will also apply to their families and dependents, according to the written ministerial statement. The list of professions eligible include doctors, nurses, midwives and social workers, although the document acknowledges that this will be expanded in the near future. However, in a move likely to provoke a backlash among some MPs,†Downing Street confirmed that†social†care workers would not be able to take advantage of the new NHS visa. Speaking to reporters this morning, the†Prime Minister's official spokesman said: ""We want employers to invest more in training and development for†care workers in this country. ""On†care workers specifically, our independent migration advisers have said that immigration is not the sole answer here, which is why we have provided councils with an additional £1.5 billion of funding for†social†care in 2021/22, as well as launching a new recruitment campaign."" Existing European Union workers in the†care sector could apply to stay in the UK through the settlement scheme ""and a very large number have done so"", he added. The visa will form part of the ""Skilled Worker""ù route in the post-Brexit points-based immigration system, which will require EU and non-EU migrants to gain 70 points to be allowed to come to the UK.† Fifty of those points have to be gained by having a job offer from an approved employer, speaking English and from the prospective job being at the skill level of A-level or above.† The remaining 20 points can come from a variety of categories, where skills or qualifications can be ""traded"" for points to meet the required 70.†† Jobs in key sectors like the NHS and social care, designated by the Government's Migration Advisory Committee (MAC), will also entitle applicants to a further ""tradeable""ù 20 points. ",0.5,Positive
"
How travel to Europe will change after Brexit, from passport queues to data roaming charges
",0,Neutral,"With less than six months until the end of the Brexit transition period, Britons are starting to learn more about the new restrictions they will face when travelling to Europe.† Today, the Government will begin an advertising blitz to help Britain prepare for life outside the UK, and†- while uncertainty remains†- for travellers it seems higher costs and more red tape will be unavoidable.† Here is what we know so far about the key areas:† Currently, anyone visiting an EU country only needs a passport that is valid for the proposed duration of their stay. From January 1, however, they will need to have at least six months of validity on their travel documents.† Millions of Britons whose passports are due to expire in the next year are being urged to apply for a new one now, a situation which is likely to cause a stampede of renewals at UK passport offices. The Government is already facing a backlog of applications due to Covid-19 closures.†† Those who do not renew in time will ""not be able to travel to most EU countries""ù as well as Iceland, Liechtenstein, Norway and Switzerland.†These rules do not apply to travel to Ireland. You can continue to use your passport as long as it's valid for the length of your stay. The Government says tourists will not need a visa for short trips to†EU†countries, Iceland, Liechtenstein, Norway and Switzerland. ""You'll be able to stay for up to 90 days in any 180-day period,""ù it adds. ""You may need a visa or permit to stay for longer, to work or study, or for†business travel.""ù The European Commission has previously said that, after Brexit, UK passport holders will need to apply for a new ETIAS (European Travel Information and Authorisation System)†visa waiver.†This is similar to an American ESTA, will probably cost around £6 and be valid for several years. However, its introduction was recently postponed until 2023.†† Despite this, we may well find - after December 30 - that it takes longer for British citizens to be processed at airports and other immigration points to the EU. The European Tourism Association has estimated that, even under the ETIAS scheme, additional checks could add an extra 90 seconds for each UK passport holder. That would mean in theory that it would take an additional five hours to process a 737 full of British passengers. In practice it seems likely that most airports will bolster immigration staff to reduce delays.  The Government adds: ""At border control, you may need to show a return or onward ticket, that you have enough money for your stay, and you may need to use separate lanes from†EU,†EEA†and Swiss citizens when queueing.""ù Once we are inside the EU of course, we will be free to travel within the Schengen area (which comprises most EU countries) as there are no further border controls.† The highly publicised switch from burgundy passports to blue has also started, with the new documents receiving a mixed reception on social media.† Under the transition arrangements, British passport holders are still entitled to†free or reduced-cost medical treatment in EU countries during 2020. A European Health Insurance Card (EHIC, formerly E111) is proof of this entitlement. The Government had hoped to keep or adopt similar arrangements as part of the final withdrawal arrangements but this now appears unlikely, meaning the cost of travel insurance will probably rise.†   Either way, even during the transition period, it is unwise to rely on an EHIC instead of a proper travel insurance policy, which covers many additional risks and costs.† The EU Travel Directive, which guarantees financial protection against the failure of your holiday operator and which was so important to all those who got stranded or lost their holidays when Thomas Cook collapsed last year, is enshrined in British law. If the Government wanted to water down those protections - which seems unlikely†- it would have to change the law. Meanwhile the remarkably high levels of compensation for delayed or cancelled flights which are covered under another EU directive are also part of UK law. British airlines are likely to lobby hard to get these watered down after we have left. The Government says: ""Some travel insurance policies only cover certain types of disruption. Check your provider's terms and conditions to make sure you have the cover you need if your travel is cancelled or delayed.†Your consumer rights will not change from 1 January 2021. This means that if your travel is cancelled or delayed you may be able to claim a refund or compensation. Check your booking's terms and conditions to find out more.""ù If you want to drive in the EU this year you just need to carry a full UK driving licence. From 2021 you may also need an international driving permit (IDP) to drive in some EU countries. This is obtainable through the Post Office (£5.50). Depending on the final agreement with the EU, if you take your own car abroad from 2021 you may also need to arrange additional cover with your insurer and carry a Green Card to prove that you have done this.† UK mobile users will no longer be automatically entitled to free roaming after December 31. Vodafone, O2 and Three have indicated they will continue to offer it - but we don't know for how long or on what terms. The Government says it will cap automatic data charges at £45 a month for operators that do not continue free roaming. But that doesn't limit the rate at which you will be charged, just the total amount you can be billed automatically. So you could find that you reach the £45 limit rather quickly, then have to decide whether to stop using your phone or pay for more data. Since some restrictions on freedom of work and movement seem inevitable as part of the final withdrawal agreement or in the event of no deal, it is almost certain that British citizens will no longer be able to work in EU countries without a permit. From a travellers' point of view that is most likely to affect young people who might to fund a trip around Europe or learn a language by taking casual jobs, or work a ski season. From 1 January 2021 you will not be able to use the existing pet passport scheme. Instead you'll need to follow a different process, which takes four months. Act before September if you are hoping to take your pet on holiday in 2021. The complex rules prompted the BBC's assistant political editor, Norman Smith, to say: ""Speaking as a dog owner it looks to me frankly such a faff, you are just not going to bother.""ù Speaking on the Today programme, he explained: ""You are going to have to take your pet to the vet to get a rabies vaccination. You'll then have to return a month later to get a blood test, send that blood test to an EU laboratory. Their vet will then send back the ""òOK'. You'll then have to wait another three months before you can go. ""I'm just thinking: pets of Great Britain, you can say farewell to the Dordogne.""ù Current government advice is summarised at†gov.uk/guidance/pet-travel-to-europe-after-brexit. We lost the right to buy duty free when travelling between EU countries in 1999. But we gained the right to bring home virtually unlimited amounts of duty paid goods - such as wine from France, where it is significantly cheaper than in the UK. From 2021 the Government says that we will be able to buy duty-free tobacco and alcohol when travelling to the EU but it is unclear exactly what the allowances will be and whether there will be changes to the duty paid arrangements. Travel between the UK and Ireland is covered not by British membership of the EU but by separate arrangements for the Common Travel Area, which covers the UK, Ireland, the Isle of Man and the Channel Islands. This stands to remain the same even after we leave the EU, the Home Office has said.†  ",0,Neutral
"
New immigration points system: Migrants need 70 points to be eligible to work in the UK†
",0.625,Positive,"Migrants will need 70 points to be eligible to work in the UK following the introduction of a new immigration points system.† Priti Patel, the Home Secretary, will be setting out the details of the new system through a†policy document and written ministerial statement, which is due around 10.30am.† The document will outline how those looking to live in the UK can get enough points to migrate to a post-Brexit Britain. Migrants will need to ensure they have 70 points if they wish to live in the UK.† A job offer†and appropriate skill level of A-level or above will result in 20 points respectively, while fluency in English will equate to 10 points. Occupations where there is a†job shortage in the UK will mean 20 points; a†PhD in a subject relevant to the job will mean a further†10 points and a PhD in a STEM subject will equal†20 points.† Meanwhile a salary of £23,040 - £25,599 will be worth 10 points and a salary of £25,599 or above, 20 points.† ",1.125,Positive
"
Britons whose passports expire in next year should apply for new one now to prepare for post-Brexit travel
",0,Neutral,"Millions of Britons whose passports are due to expire in the next year are being urged to apply for a new one now, as part of a stepping up of efforts to prepare for the end of the Brexit transition period. Holidaymakers travelling to popular European destinations from Jan 1 will be required to have six months validity on their travel documents, which is likely to cause a stampede of renewals at UK passport offices. It's estimated that some five million UK citizens have passports which are valid for less than a year, meaning they should act now in order to travel in the new year. Those who do not renew in time will ""not be able to travel to most EU countries""ù as well as Iceland, Liechtenstein, Norway and Switzerland. It comes as the Government today (Mon) launches a new £93 million public information campaign ""The UK's new start: let's get going""ù to help Britons prepare for life outside the EU. Adverts will be launched across television, radio and online, with key information also relayed by text message. One such change means that those planning to go abroad with pets in January will need to act by September to ensure they are able travel. ",0,Neutral
"
Key parts of Boris Johnson's Withdrawal Agreement amount to 'poison pill', senior Brexiteers warn
",0.375,Positive,"Senior Brexiteers have warned Boris Johnson that key parts of his Withdrawal Agreement with the EU amount†to a ""poison pill"" that should be replaced as part of post-Brexit trade negotiations. A 120-page report compiled by pro-Leave MPs and lawyers states that exiting the transition period with the current provisions of the agreement in place would have ""crippling"" consequences for the UK and prevent the country from becoming a ""fully sovereign state"". The document, which is published as the UK and EU carry out intensive trade negotiations, has been endorsed by a series of senior backbenchers, suggesting Mr Johnson could face resistance in the Commons if he fails to tackle some of their concerns. On Saturday, Mark Francois, the chairman of the influential European Research Group (ERG) of Eurosceptic Tory MPs, said: ""The report argues that the remaining elements of the Withdrawal Agreement after we leave the transition period cannot be allowed to stand as they are, and particularly that there must be no remaining role for the European Court of Justice over any aspect of our national life. That is something that I and my colleagues in the ERG would very much support."" The report, published by the new Centre for Brexit Policy, includes contributions from Lord Trimble, the former first minister of Northern Ireland, Martin Howe, the Brexiteer QC, and Owen Paterson, the former cabinet minister who chairs the think tank. The key elements it says make up the ""poison pill"" include the UK having to remain bound to some state aid laws, the creation of ""burdensome EU customs mechanisms"" at a border in the Irish Sea, a role for the European Court of Justice (ECJ) for another eight years, and the vast divorce payments, for amounts the report states are ""not owing under international law"" and are ""subject to the determination of the ECJ"". The report states: ""Although the Government sees the revised Withdrawal Agreement (WA) as only transitional until the end of the transition period in December, there remain serious threats to UK sovereignty that will have crippling economic and strategic consequences for years to come if they are not dealt with now. ""Exiting the TP with these threats still in place will not return the UK to a fully sovereign state and is unacceptable."" The report urges Mr Johnson to replace the Withdrawal Agreement with a ""sovereignty compliant"" agreement. A chapter by Lord Trimble states that the current deal ""rips the Good Friday Agreement apart""ù by handing law-making power over Northern Ireland to the EU. ",0.375,Positive
"
Rishi Sunak plans
Brexit tax cuts to save the economy
",0.5,Positive,"Taxes and red tape will be slashed in towns and cities across the country next year, under government†plans†for a post-Brexit and post-coronavirus ≠economic revolution. Rishi†Sunak, the Chancellor, is preparing to introduce sweeping tax cuts and an overhaul of†planning†laws in up to 10 new ""freeports"" within a year of the UK becoming fully independent from the European Union in December,†The Telegraph†can reveal. The disclosure comes as Michael Gove declares the reasons for Brexit are ""stronger than ever"", in a rebuke to Michel Barnier, the EU's chief negotiator, who last week said he saw no ""added value"" from leaving the bloc. Writing in The Telegraph, the Chancellor of the Duchy of Lancaster, also launches ""The UK's new start: let's get going"", a public information campaign to help individuals and businesses to prepare for life outside of the EU's structures and ""seize the opportunities"" of Brexit. Ministers are dramatically stepping up plans for the end of the transition period, with less than six months until the UK leaves the EU's customs union and the single market. In other developments: According to plans seen by The Telegraph, Mr Sunak will open the bidding for towns, cities and regions to become ""freeports"", in his autumn budget later this year, as he attempts to tackle the effects of a recession predicted to be the worst faced by the country in 300 years. He is planning to confirm the successful bids by the spring and introduce sweeping tax and regulatory changes in those areas at next year's budget, including research and development tax credits, generous capital allowances, cuts to stamp duty and business rates, and local relaxations of planning laws. The disclosure comes after the Chancellor unveiled an immediate national stamp duty holiday for six months on properties worth up to £500,000, as part of a package of measures to help the economy recover from the impact of Covid-19. Under the plans, up to 10 UK towns, cities and regions, will be designated as freeports, meaning that they will ultimately be legally outside of the country's customs territory, with goods imported, manufactured or re-exported without incurring national tariffs or import VAT until they enter the rest of the economy. The Government believes the policy can transform ports into ""international hubs"" for manufacturing and innovation, with the economic and regulatory incentives designed to encourage firms to establish new factories and processing sites in the areas. In a second wave of measures, customs duties, import VAT, and national insurance contributions would be cut from April 2022, making the freeports ""fully operational"" within 18 months of the UK's departure from the customs union and single market. The measures to be introduced in next year's autumn budget are understood to have been initially scheduled for the spring, but have been delayed slightly as a result of the Covid-19 pandemic. Mr Sunak first mapped out proposals for UK freeports in a paper he wrote as a backbencher four years ago, and Mr Johnson backed the idea during the Conservative leadership contest. The pair view the free trade zones as a prize of the ""economic freedom"" provided by Brexit, believing that the measure will boost manufacturing, create jobs in the areas in which they are most needed, and promote trade. ",0.125,Positive
